user_id,app_version,tasks_completed_at_dropout,rating,total_time_spent_seconds,avg_time_spent_seconds,tasks_completed_list
07736719-4a6f-4d13-b43b-7a27c1aed2c9,A,3,4,45.15,15.05,Task 1|Task 2|Task 3
0cc8e3c1-fe7e-4f3a-920c-cf7cfed7c65f,B,9,3,1362.1,151.34,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8|Task 9
0d28e9a6-3fce-46c0-a5cd-a8b76bf1d331,A,9,3,224.05,24.89,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8|Task 9
0f1be914-7fb3-48b0-99de-40113d800b6d,B,11,5,1108.81,100.8,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8|Task 9|Task 10|Task 11
10037e18-7099-4d6c-a325-e5f58d7e25b8,B,6,2,285.77,47.63,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6
112af536-c112-4c07-93ef-28548e7d7224,B,5,4,259.63,51.93,Task 1|Task 2|Task 3|Task 4|Task 5
17c25a56-4479-45d9-9fc6-0513a0516070,B,6,2,691.3,115.22,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6
18a0d11c-034b-4821-b5fc-6af07a34c83e,A,7,2,903.45,129.06,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7
1b84ad05-0d03-4816-aaec-9978e5e3002a,B,6,2,332.04,55.34,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6
1edd2000-ca74-4728-8ed4-466cf163182f,B,8,1,978.01,122.25,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8
2292ac62-e8b6-4bbe-9c31-d77f0639471b,A,5,4,255.18,51.04,Task 1|Task 2|Task 3|Task 4|Task 5
25ba505d-a459-45da-b6e2-cbdc2934c87e,A,1,5,33.55,33.55,Task 1
2de8cc83-0be3-45be-978b-6f664ecc8abb,A,3,2,121.38,40.46,Task 1|Task 2|Task 3
2dfea0df-180c-46ca-a6b4-4e7a2b0a51e7,A,1,5,19.3,19.3,Task 1
2e1b241d-f965-49a8-961b-53fb0f71800a,A,1,5,14.22,14.22,Task 1
312f6d2c-0fd1-49bf-9cdc-796b4fe40014,A,9,2,392.63,43.63,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8|Task 9
335e2924-231c-46f6-82a0-caa4482aee18,B,1,1,129.8,129.8,Task 1
338e6904-012a-4f46-9bcc-2126747cf2b0,A,9,4,118.65,13.18,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8|Task 9
347643d3-9795-4990-a41f-7b7a2b850a17,B,8,2,326.58,40.82,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8
36b1f657-89d1-42f3-bc0e-cc7293c00d7c,B,4,3,496.03,124.01,Task 1|Task 2|Task 3|Task 4
413184e0-d61c-4db2-9114-c3731ed7dfab,A,2,4,35.0,17.5,Task 1|Task 2
431d29b1-6c40-4358-91b7-aa9cbb71b247,A,8,5,420.53,52.57,Task 1|Task 2|Task 3|Task 4|Task 5|Task 6|Task 7|Task 8
